fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.0,0,323.81321154499983,0,1,
0.0,1,326.048740276,0,2,
0.0,2,318.6448517230001,0,3,
0.0,3,318.4196312459999,0,4,
0.195,4,148.00371931500013,0,5,
0.17,5,97.0342041390004,0,6,
0.175,6,82.80091694100065,0,7,
0.185,7,102.18221327500032,0,8,
0.205,8,90.32081910600027,0,9,
,8,,,,1807.5012044260002
0.0,9,322.7481957330001,1,1,
0.33,10,101.8638676999999,1,2,
,10,,,,424.8099648769994
0.27,11,186.22594983399995,2,1,
,11,,,,186.41162921199975
0.0,12,324.55122413200115,3,1,
0.22,13,182.93065554500026,3,2,
,13,,,,507.6788040600004
0.24,14,234.31304390200057,4,1,
,14,,,,234.51603617799992
