epoch,step,train_BinaryAUROC,train_BinaryAccuracy,train_BinaryF1Score,train_BinaryPrecision,train_BinaryRecall,train_BinarySpecificity,train_loss,val_BinaryAUROC,val_BinaryAccuracy,val_BinaryF1Score,val_BinaryPrecision,val_BinaryRecall,val_BinarySpecificity,val_loss
0,88,,,,,,,,0.5401543974876404,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.4669036865234375
0,88,0.0,1.0,1.0,1.0,1.0,0.0,0.0001238995318999514,,,,,,,
1,177,,,,,,,,0.5288172960281372,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.4746270179748535
1,177,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
2,266,,,,,,,,0.5348396301269531,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.471516132354736
2,266,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
3,355,,,,,,,,0.5086231827735901,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.489761829376221
3,355,0.0,1.0,1.0,1.0,1.0,0.0,0.00012345377763267606,,,,,,,
4,444,,,,,,,,0.51063072681427,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.4887919425964355
4,444,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
5,533,,,,,,,,0.5087411403656006,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.490122318267822
5,533,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
6,622,,,,,,,,0.509921669960022,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.489731311798096
6,622,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
7,711,,,,,,,,0.5126381516456604,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.488157749176025
7,711,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
8,800,,,,,,,,0.5135830044746399,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.487204074859619
8,800,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
9,889,,,,,,,,0.5111027956008911,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.488775253295898
9,889,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
10,978,,,,,,,,0.5103942155838013,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.489567279815674
10,978,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
11,1067,,,,,,,,0.5096862316131592,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.489257335662842
11,1067,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
12,1156,,,,,,,,0.5142910480499268,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.4870100021362305
12,1156,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
13,1245,,,,,,,,0.5121656060218811,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.48790979385376
13,1245,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
14,1334,,,,,,,,0.5085049271583557,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.490293502807617
14,1334,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
15,1423,,,,,,,,0.5144095420837402,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.48666524887085
15,1423,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
16,1512,,,,,,,,0.5095680356025696,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.489820957183838
16,1512,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
17,1601,,,,,,,,0.5137010216712952,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.487475395202637
17,1601,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
18,1690,,,,,,,,0.5098035931587219,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.4901275634765625
18,1690,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
19,1779,,,,,,,,0.510276198387146,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.48964262008667
19,1779,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
20,1868,,,,,,,,0.5095677375793457,0.5005310773849487,0.6671385765075684,0.5005310773849487,1.0,0.0,4.489726543426514
20,1868,0.0,1.0,1.0,1.0,1.0,0.0,0.0001233892107848078,,,,,,,
