fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.02,0,378.870814606,0,1,
0.005,1,404.173657842,0,2,
0.315,2,348.69297103300005,0,3,
,2,,,,1131.8193595760001
0.425,3,380.73737190099996,1,1,
,3,,,,380.79638143500006
0.325,4,354.5165352099998,2,1,
,4,,,,354.5848711850001
0.1,5,391.3682190489999,3,1,
0.025,6,357.0825086499999,3,2,
0.03,7,389.7914920909998,3,3,
0.255,8,335.82389063799974,3,4,
,8,,,,1474.135600743
0.01,9,346.3636449319997,4,1,
0.385,10,367.4628583249996,4,2,
,10,,,,713.891298816
