fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.115,0,46.95392575000005,0,1,
0.175,1,43.65744657100004,0,2,
0.185,2,62.894026188998396,0,3,
0.28,3,60.88413726199906,0,4,
,3,,,,214.57408480699996
0.265,4,54.110597095999765,1,1,
,4,,,,54.30628482999964
0.405,5,55.560544201000084,2,1,
,5,,,,55.75675595299981
0.075,6,56.43964327499998,3,1,
0.025,7,54.497548077999454,3,2,
0.39,8,41.45154763500068,3,3,
,8,,,,152.59973849800008
0.32,9,43.97748066300119,4,1,
,9,,,,44.17081750499892
