epoch,step,train_BinaryAUROC,train_BinaryAccuracy,train_BinaryF1Score,train_BinaryPrecision,train_BinaryRecall,train_BinarySpecificity,train_loss,val_BinaryAUROC,val_BinaryAccuracy,val_BinaryF1Score,val_BinaryPrecision,val_BinaryRecall,val_BinarySpecificity,val_loss
0,88,,,,,,,,0.9030232429504395,0.7953499555587769,0.8238162994384766,0.7237993478775024,0.9559066295623779,0.6344518065452576,0.4932229816913605
0,88,0.0,0.9732958674430847,0.9864672422409058,1.0,0.9732958674430847,0.0,0.10861734300851822,,,,,,,
1,177,,,,,,,,0.9036356210708618,0.7949958443641663,0.824065625667572,0.7223011255264282,0.9592077136039734,0.6304348111152649,0.494625061750412
1,177,0.0,0.9775123000144958,0.9886282682418823,1.0,0.9775123000144958,0.0,0.10428644716739655,,,,,,,
2,266,,,,,,,,0.901482343673706,0.7898029088973999,0.8209870457649231,0.7154870629310608,0.9629804491996765,0.6162570714950562,0.5139104723930359
2,266,0.0,0.9810259938240051,0.9904221296310425,1.0,0.9810259938240051,0.0,0.09698601812124252,,,,,,,
3,355,,,,,,,,0.9014107584953308,0.7915732264518738,0.8217601776123047,0.7183694839477539,0.9599151015281677,0.6228733658790588,0.5036303997039795
3,355,0.0,0.9792691469192505,0.9895260334014893,1.0,0.9792691469192505,0.0,0.09619003534317017,,,,,,,
4,444,,,,,,,,0.9013786315917969,0.7872064113616943,0.81939297914505,0.7122953534126282,0.9643951654434204,0.6096408367156982,0.5169970393180847
4,444,0.0,0.9859451651573181,0.992922842502594,1.0,0.9859451651573181,0.0,0.08773136883974075,,,,,,,
5,533,,,,,,,,0.898073673248291,0.784727931022644,0.8176364898681641,0.7097725868225098,0.964159369468689,0.6049149632453918,0.5281770825386047
5,533,0.0,0.9884047508239746,0.9941685795783997,1.0,0.9884047508239746,0.0,0.08269204944372177,,,,,,,
6,622,,,,,,,,0.8972873687744141,0.7725716829299927,0.8107630610466003,0.6947155594825745,0.9733553528785706,0.5713610649108887,0.5715430378913879
6,622,0.0,0.9859451651573181,0.992922842502594,1.0,0.9859451651573181,0.0,0.07945612818002701,,,,,,,
7,711,,,,,,,,0.894753098487854,0.7673787474632263,0.8070106506347656,0.6900535821914673,0.9717047810554504,0.5626181364059448,0.5757226943969727
7,711,0.0,0.98664790391922,0.9932790994644165,1.0,0.98664790391922,0.0,0.07752211391925812,,,,,,,
8,800,,,,,,,,0.8966796398162842,0.7669066190719604,0.8069592118263245,0.6891486048698425,0.9733553528785706,0.5600188970565796,0.5817412734031677
8,800,0.0,0.9898102879524231,0.9948790669441223,1.0,0.9898102879524231,0.0,0.07062097638845444,,,,,,,
9,889,,,,,,,,0.9014946818351746,0.7660804986953735,0.8069354891777039,0.6874688863754272,0.976656436920166,0.5550566911697388,0.5754595994949341
9,889,0.0,0.9884047508239746,0.9941685795783997,1.0,0.9884047508239746,0.0,0.07025184482336044,,,,,,,
10,978,,,,,,,,0.9000073671340942,0.7685589790344238,0.8084774017333984,0.6900633573532104,0.9759490489959717,0.5607277750968933,0.5797762870788574
10,978,0.0,0.9922698736190796,0.9961199164390564,1.0,0.9922698736190796,0.0,0.06527603417634964,,,,,,,
11,1067,,,,,,,,0.9008406400680542,0.754278302192688,0.7998461723327637,0.6752150654792786,0.9809007048606873,0.5271739363670349,0.6148134469985962
11,1067,0.0,0.9933239817619324,0.9966508150100708,1.0,0.9933239817619324,0.0,0.05932161957025528,,,,,,,
12,1156,,,,,,,,0.8966705799102783,0.7545143365859985,0.7995374202728271,0.6761206388473511,0.9780712127685547,0.5304820537567139,0.605280339717865
12,1156,0.0,0.9943780899047852,0.9971811175346375,1.0,0.9943780899047852,0.0,0.059390414506196976,,,,,,,
13,1245,,,,,,,,0.8971970081329346,0.7423580884933472,0.7925890684127808,0.6637492179870605,0.9834944605827332,0.5007088780403137,0.6472371816635132
13,1245,0.0,0.9947294592857361,0.9973577857017517,1.0,0.9947294592857361,0.0,0.05604155734181404,,,,,,,
14,1334,,,,,,,,0.8977527618408203,0.73905348777771,0.790961503982544,0.6601957082748413,0.9863239526748657,0.49125710129737854,0.6708654165267944
14,1334,0.0,0.9957835674285889,0.9978873133659363,1.0,0.9957835674285889,0.0,0.05104754865169525,,,,,,,
15,1423,,,,,,,,0.8927949666976929,0.7294936776161194,0.784586489200592,0.6522893905639648,0.9842018485069275,0.4742438495159149,0.6775217056274414
15,1423,0.0,0.9968376755714417,0.9984163045883179,1.0,0.9968376755714417,0.0,0.048109352588653564,,,,,,,
16,1512,,,,,,,,0.8984391689300537,0.7326802611351013,0.787104070186615,0.6544232368469238,0.9872671365737915,0.47755199670791626,0.684831976890564
