epoch,step,train_BinaryAUROC,train_BinaryAccuracy,train_BinaryF1Score,train_BinaryPrecision,train_BinaryRecall,train_BinarySpecificity,train_loss,val_BinaryAUROC,val_BinaryAccuracy,val_BinaryF1Score,val_BinaryPrecision,val_BinaryRecall,val_BinarySpecificity,val_loss
0,61,,,,,,,,0.9879840016365051,0.867132842540741,0.9285714030265808,0.8666666746139526,1.0,0.025641025975346565,0.4472120404243469
0,61,0.0,0.9949520230293274,0.9974696636199951,1.0,0.9949520230293274,0.0,0.01363472081720829,,,,,,,
1,123,,,,,,,,0.9778236150741577,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.6819347739219666
1,123,0.0,1.0,1.0,1.0,1.0,0.0,0.0004651715571526438,,,,,,,
2,185,,,,,,,,0.9446563720703125,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.8677710890769958
2,185,0.0,1.0,1.0,1.0,1.0,0.0,0.00023736333241686225,,,,,,,
3,247,,,,,,,,0.9641855955123901,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.8914390206336975
3,247,0.0,1.0,1.0,1.0,1.0,0.0,0.00017417300841771066,,,,,,,
4,309,,,,,,,,0.9445396065711975,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.9502978324890137
4,309,0.0,1.0,1.0,1.0,1.0,0.0,0.00015000429993961006,,,,,,,
5,371,,,,,,,,0.9178993701934814,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.9953598380088806
5,371,0.0,1.0,1.0,1.0,1.0,0.0,0.00014331762213259935,,,,,,,
6,433,,,,,,,,0.9146164655685425,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.0150316953659058
6,433,0.0,1.0,1.0,1.0,1.0,0.0,0.00014361993817146868,,,,,,,
7,495,,,,,,,,0.8958398103713989,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.0489411354064941
7,495,0.0,1.0,1.0,1.0,1.0,0.0,0.00013141121598891914,,,,,,,
8,557,,,,,,,,0.9023927450180054,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.0318984985351562
8,557,0.0,1.0,1.0,1.0,1.0,0.0,0.00013533492165151983,,,,,,,
9,619,,,,,,,,0.7742395401000977,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.0931895971298218
9,619,0.0,1.0,1.0,1.0,1.0,0.0,0.00012814166257157922,,,,,,,
10,681,,,,,,,,0.7943786382675171,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.1061066389083862
10,681,0.0,1.0,1.0,1.0,1.0,0.0,0.00013154376938473433,,,,,,,
11,743,,,,,,,,0.7372313737869263,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.132211685180664
11,743,0.0,1.0,1.0,1.0,1.0,0.0,0.0001272369991056621,,,,,,,
12,805,,,,,,,,0.6748936176300049,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.1563478708267212
12,805,0.0,1.0,1.0,1.0,1.0,0.0,0.0001258944976143539,,,,,,,
13,867,,,,,,,,0.6632668972015381,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.1590203046798706
13,867,0.0,1.0,1.0,1.0,1.0,0.0,0.00012611356214620173,,,,,,,
14,929,,,,,,,,0.6761652231216431,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.1568028926849365
14,929,0.0,1.0,1.0,1.0,1.0,0.0,0.00012715197226498276,,,,,,,
15,991,,,,,,,,0.6314881443977356,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.1715930700302124
15,991,0.0,1.0,1.0,1.0,1.0,0.0,0.0001249799388460815,,,,,,,
16,1053,,,,,,,,0.6617875695228577,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.164802074432373
16,1053,0.0,1.0,1.0,1.0,1.0,0.0,0.00013384921476244926,,,,,,,
17,1115,,,,,,,,0.6509654521942139,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.1768217086791992
17,1115,0.0,1.0,1.0,1.0,1.0,0.0,0.00012418847472872585,,,,,,,
18,1177,,,,,,,,0.5942333340644836,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.193301796913147
18,1177,0.0,1.0,1.0,1.0,1.0,0.0,0.00012573132698889822,,,,,,,
19,1239,,,,,,,,0.5758330225944519,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.1966806650161743
19,1239,0.0,1.0,1.0,1.0,1.0,0.0,0.0001245219464180991,,,,,,,
20,1301,,,,,,,,0.5887314081192017,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.1954922676086426
20,1301,0.0,1.0,1.0,1.0,1.0,0.0,0.00012430307106114924,,,,,,,
