fooling_rate,step,time_elapsed,uap,uap_step
0.18,0,5.932919743000184,0,1
0.18,1,5.6087487889999466,0,2
0.21,2,6.1226371309999195,0,3
0.22,3,6.66798240900016,0,4
0.19,4,7.471859945999768,0,5
0.19,5,8.736999963000017,0,6
0.21,6,10.761188471999958,0,7
0.2,7,7.306258679000166,0,8
0.19,8,12.13308503799999,0,9
0.2,9,12.708723349999673,0,10
0.21,10,11.166591532999973,0,11
0.22,11,12.052574441999695,0,12
0.19,12,12.772435505999965,0,13
0.19,13,11.601944086000003,0,14
0.2,14,12.04894092099994,0,15
0.19,15,12.67001980699979,0,16
0.19,16,12.817353325000113,0,17
0.19,17,12.780888074999893,0,18
0.22,18,13.289081334999992,0,19
0.2,19,13.514614860000165,0,20
0.2,20,13.875499456999933,0,21
0.22,21,13.851562078999905,0,22
0.22,22,14.606268939000074,0,23
0.2,23,14.951466414000151,0,24
0.19,24,15.519520289999946,0,25
0.2,25,15.489817434000088,0,26
0.19,26,14.900681194999834,0,27
0.21,27,16.567885037999986,0,28
0.19,28,16.835858269000255,0,29
0.19,29,17.28548211999987,0,30
0.2,30,17.588688592999915,0,31
0.19,31,18.312820879000355,0,32
0.22,32,18.04948688500008,0,33
0.22,33,17.948978316999728,0,34
0.21,34,20.109701889999997,0,35
0.22,35,20.251510400999905,0,36
0.22,36,20.60865260799983,0,37
0.2,37,20.804775678999704,0,38
0.2,38,21.738487583999813,0,39
0.19,39,21.123176205999698,0,40
0.19,40,22.465552066000328,0,41
0.22,41,20.803734368000278,0,42
0.21,42,21.90410478900003,0,43
0.22,43,21.8298513499999,0,44
0.19,44,22.732022013000005,0,45
0.19,45,23.84567462599989,0,46
0.2,46,24.49930554499997,0,47
0.19,47,23.870012859000326,0,48
0.2,48,24.505347877000077,0,49
0.2,49,24.55858174800005,0,50
0.2,50,24.948322390000158,0,51
0.22,51,25.88207017500008,0,52
0.2,52,24.91575440099996,0,53
0.19,53,26.214123326999925,0,54
0.21,54,27.562218135999956,0,55
0.22,55,27.19644955800004,0,56
0.2,56,27.182250303000274,0,57
0.19,57,27.771165765000205,0,58
0.2,58,28.280440562999956,0,59
0.19,59,28.821818350000285,0,60
0.19,60,29.175234520999766,0,61
0.22,61,30.145861724000042,0,62
0.2,62,29.644787777000147,0,63
0.18,63,30.178861776999838,0,64
0.21,64,30.35864512199987,0,65
0.19,65,30.82060133699997,0,66
0.2,66,31.541890976000104,0,67
0.19,67,33.29324333300019,0,68
0.19,68,33.80282175499997,0,69
0.2,69,34.435291283999504,0,70
0.19,70,34.39276094300021,0,71
0.22,71,32.49919295499967,0,72
0.21,72,33.984812951000094,0,73
0.19,73,33.865577780999956,0,74
0.18,74,35.67602559500028,0,75
0.22,75,34.5557971420003,0,76
0.19,76,35.339725159999944,0,77
0.21,77,35.88608679400022,0,78
0.21,78,35.50425027399979,0,79
0.21,79,36.551516633000574,0,80
0.22,80,36.14242623500013,0,81
0.22,81,37.58804843800044,0,82
