epoch,step,train_BinaryAUROC,train_BinaryAccuracy,train_BinaryF1Score,train_BinaryPrecision,train_BinaryRecall,train_BinarySpecificity,train_loss,val_BinaryAUROC,val_BinaryAccuracy,val_BinaryF1Score,val_BinaryPrecision,val_BinaryRecall,val_BinarySpecificity,val_loss
0,61,,,,,,,,0.951235294342041,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.8257712125778198
0,61,0.0,1.0,1.0,1.0,1.0,0.0,0.0001416042068740353,,,,,,,
1,123,,,,,,,,0.9458372592926025,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.8886074423789978
1,123,0.0,1.0,1.0,1.0,1.0,0.0,0.00012607741518877447,,,,,,,
2,185,,,,,,,,0.8908439874649048,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.984662652015686
2,185,0.0,1.0,1.0,1.0,1.0,0.0,0.0001249344932148233,,,,,,,
3,247,,,,,,,,0.9261263608932495,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.9480987787246704
3,247,0.0,1.0,1.0,1.0,1.0,0.0,0.00012394730583764613,,,,,,,
4,309,,,,,,,,0.9115539789199829,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.96282958984375
4,309,0.0,1.0,1.0,1.0,1.0,0.0,0.00012376857921481133,,,,,,,
5,371,,,,,,,,0.929863452911377,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.9565301537513733
5,371,0.0,1.0,1.0,1.0,1.0,0.0,0.00012368964962661266,,,,,,,
6,433,,,,,,,,0.914642333984375,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.99603271484375
6,433,0.0,1.0,1.0,1.0,1.0,0.0,0.00012361380504444242,,,,,,,
7,495,,,,,,,,0.92118239402771,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,0.9808398485183716
7,495,0.0,1.0,1.0,1.0,1.0,0.0,0.00012349228200037032,,,,,,,
8,557,,,,,,,,0.8910126686096191,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.01522958278656
8,557,0.0,1.0,1.0,1.0,1.0,0.0,0.0001235581439686939,,,,,,,
9,619,,,,,,,,0.8729108572006226,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.0386927127838135
9,619,0.0,1.0,1.0,1.0,1.0,0.0,0.00012345633876975626,,,,,,,
10,681,,,,,,,,0.8648266792297363,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.0298856496810913
10,681,0.0,1.0,1.0,1.0,1.0,0.0,0.0001234510273206979,,,,,,,
11,743,,,,,,,,0.9077001214027405,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.0126734972000122
11,743,0.0,1.0,1.0,1.0,1.0,0.0,0.0001234758092323318,,,,,,,
12,805,,,,,,,,0.9042744040489197,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.0093592405319214
12,805,0.0,1.0,1.0,1.0,1.0,0.0,0.00012343644630163908,,,,,,,
13,867,,,,,,,,0.8725993633270264,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.0437800884246826
13,867,0.0,1.0,1.0,1.0,1.0,0.0,0.00012350855104159564,,,,,,,
14,929,,,,,,,,0.8506565690040588,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.0701513290405273
14,929,0.0,1.0,1.0,1.0,1.0,0.0,0.00012354625505395234,,,,,,,
15,991,,,,,,,,0.8617253303527832,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.0498934984207153
15,991,0.0,1.0,1.0,1.0,1.0,0.0,0.0001234502560691908,,,,,,,
16,1053,,,,,,,,0.8765052556991577,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.0452176332473755
16,1053,0.0,1.0,1.0,1.0,1.0,0.0,0.00012351352779660374,,,,,,,
17,1115,,,,,,,,0.8700300455093384,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.0732836723327637
17,1115,0.0,1.0,1.0,1.0,1.0,0.0,0.0001235868694493547,,,,,,,
18,1177,,,,,,,,0.8585331439971924,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.068061351776123
18,1177,0.0,1.0,1.0,1.0,1.0,0.0,0.00012341576803009957,,,,,,,
19,1239,,,,,,,,0.87052321434021,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.063081979751587
19,1239,0.0,1.0,1.0,1.0,1.0,0.0,0.00012342621630523354,,,,,,,
20,1301,,,,,,,,0.8646060228347778,0.8636363744735718,0.9268292784690857,0.8636363744735718,1.0,0.0,1.0617517232894897
20,1301,0.0,1.0,1.0,1.0,1.0,0.0,0.000123399164294824,,,,,,,
