fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.3,0,8.397599006000746,0,1,
0.36,1,6.675467750999815,0,2,
0.43,2,6.441784779000955,0,3,
0.46,3,6.292483699000513,0,4,
0.48,4,6.072420169000907,0,5,
0.49,5,6.131043214001693,0,6,
0.51,6,6.397784115000832,0,7,
,6,,,,46.51466069000162
0.3,7,8.282817383000292,1,1,
0.37,8,6.713282339998841,1,2,
0.43,9,6.526902855001026,1,3,
0.44,10,6.475366972001211,1,4,
0.46,11,6.512482729000112,1,5,
0.47,12,6.4762399940009345,1,6,
0.5,13,6.635909767999692,1,7,
,13,,,,47.73455591499987
0.33,14,8.190123324000524,2,1,
0.41,15,6.059346657000788,2,2,
0.45,16,6.252555423001468,2,3,
0.45,17,6.183282861999032,2,4,
0.44,18,6.707394279999789,2,5,
0.49,19,6.641819050999402,2,6,
0.5,20,6.363894129999608,2,7,
,20,,,,46.51996457000132
0.33,21,8.281064598999365,3,1,
0.42,22,6.395415981998667,3,2,
0.43,23,6.10341503500058,3,3,
0.46,24,6.136365460999514,3,4,
0.44,25,6.033204340999873,3,5,
0.47,26,6.426953955000499,3,6,
0.48,27,6.4205779539988725,3,7,
0.46,28,6.66523544499978,3,8,
0.46,29,6.700740009000583,3,9,
0.48,30,6.979822408999098,3,10,
0.48,31,7.349345444999926,3,11,
0.49,32,7.4777741319994675,3,12,
0.48,33,7.713342769000519,3,13,
0.5,34,7.58799844099849,3,14,
,34,,,,96.39155447199846
0.29,35,8.413194078999368,4,1,
0.47,36,6.390456354998605,4,2,
0.48,37,6.000595122000959,4,3,
0.46,38,6.1804875020006875,4,4,
0.47,39,6.486250677999124,4,5,
0.5,40,6.536633109999457,4,6,
,40,,,,40.10955660599939
