fooling_rate,step,time_elapsed,uap,uap_step,uap_time_elapsed
0.12,0,38.0310083100012,0,1,
0.25,1,36.13684628700139,0,2,
,1,,,,74.25704510500145
0.34,2,48.76961949899851,1,1,
,2,,,,48.85302490699905
0.02,3,71.00730720300271,2,1,
0.285,4,45.29374380700028,2,2,
,4,,,,116.38382338700103
0.13,5,48.243627101997845,3,1,
0.26,6,42.80569714899684,3,2,
,6,,,,91.13541931800137
0.19,7,57.65084110099997,4,1,
0.135,8,47.096905117999995,4,2,
0.21,9,53.35949347300266,4,3,
,9,,,,158.1970481290009
